Local time,Open,High,Low,Close,Volume
06.01.2017 09:00:00.000 GMT+0100,82.604,83.070,82.469,82.879,30517320.6329
06.01.2017 10:00:00.000 GMT+0100,82.880,83.089,82.849,82.989,19806146.6217
06.01.2017 11:00:00.000 GMT+0100,83.000,83.020,82.929,82.980,25127050.3998
06.01.2017 12:00:00.000 GMT+0100,82.979,83.020,82.899,82.960,12633008.9569
06.01.2017 13:00:00.000 GMT+0100,82.959,83.090,82.939,83.030,9723943.7103
06.01.2017 14:00:00.000 GMT+0100,83.030,83.490,82.802,83.430,33028022.7661
06.01.2017 15:00:00.000 GMT+0100,83.430,83.460,83.079,83.370,38457172.3938
06.01.2017 16:00:00.000 GMT+0100,83.392,83.420,83.249,83.340,41292781.8298
06.01.2017 17:00:00.000 GMT+0100,83.339,83.640,83.339,83.579,20613203.0487
06.01.2017 18:00:00.000 GMT+0100,83.579,83.579,83.579,83.579,0
06.01.2017 19:00:00.000 GMT+0100,83.579,83.579,83.579,83.579,0
06.01.2017 20:00:00.000 GMT+0100,83.579,83.579,83.579,83.579,0
06.01.2017 21:00:00.000 GMT+0100,83.579,83.579,83.579,83.579,0
06.01.2017 22:00:00.000 GMT+0100,83.579,83.579,83.579,83.579,0
06.01.2017 23:00:00.000 GMT+0100,83.579,83.579,83.579,83.579,0
07.01.2017 00:00:00.000 GMT+0100,83.579,83.579,83.579,83.579,0
07.01.2017 01:00:00.000 GMT+0100,83.579,83.579,83.579,83.579,0
07.01.2017 02:00:00.000 GMT+0100,83.579,83.579,83.579,83.579,0
07.01.2017 03:00:00.000 GMT+0100,83.579,83.579,83.579,83.579,0
07.01.2017 04:00:00.000 GMT+0100,83.579,83.579,83.579,83.579,0
07.01.2017 05:00:00.000 GMT+0100,83.579,83.579,83.579,83.579,0
07.01.2017 06:00:00.000 GMT+0100,83.579,83.579,83.579,83.579,0
07.01.2017 07:00:00.000 GMT+0100,83.579,83.579,83.579,83.579,0
07.01.2017 08:00:00.000 GMT+0100,83.579,83.579,83.579,83.579,0
07.01.2017 09:00:00.000 GMT+0100,83.579,83.579,83.579,83.579,0
07.01.2017 10:00:00.000 GMT+0100,83.579,83.579,83.579,83.579,0
07.01.2017 11:00:00.000 GMT+0100,83.579,83.579,83.579,83.579,0
07.01.2017 12:00:00.000 GMT+0100,83.579,83.579,83.579,83.579,0
07.01.2017 13:00:00.000 GMT+0100,83.579,83.579,83.579,83.579,0
07.01.2017 14:00:00.000 GMT+0100,83.579,83.579,83.579,83.579,0
07.01.2017 15:00:00.000 GMT+0100,83.579,83.579,83.579,83.579,0
07.01.2017 16:00:00.000 GMT+0100,83.579,83.579,83.579,83.579,0
07.01.2017 17:00:00.000 GMT+0100,83.579,83.579,83.579,83.579,0
07.01.2017 18:00:00.000 GMT+0100,83.579,83.579,83.579,83.579,0
07.01.2017 19:00:00.000 GMT+0100,83.579,83.579,83.579,83.579,0
07.01.2017 20:00:00.000 GMT+0100,83.579,83.579,83.579,83.579,0
07.01.2017 21:00:00.000 GMT+0100,83.579,83.579,83.579,83.579,0
07.01.2017 22:00:00.000 GMT+0100,83.579,83.579,83.579,83.579,0
07.01.2017 23:00:00.000 GMT+0100,83.579,83.579,83.579,83.579,0
08.01.2017 00:00:00.000 GMT+0100,83.579,83.579,83.579,83.579,0
08.01.2017 01:00:00.000 GMT+0100,83.579,83.579,83.579,83.579,0
08.01.2017 02:00:00.000 GMT+0100,83.579,83.579,83.579,83.579,0
08.01.2017 03:00:00.000 GMT+0100,83.579,83.579,83.579,83.579,0
08.01.2017 04:00:00.000 GMT+0100,83.579,83.579,83.579,83.579,0
08.01.2017 05:00:00.000 GMT+0100,83.579,83.579,83.579,83.579,0
08.01.2017 06:00:00.000 GMT+0100,83.579,83.579,83.579,83.579,0
08.01.2017 07:00:00.000 GMT+0100,83.579,83.579,83.579,83.579,0
08.01.2017 08:00:00.000 GMT+0100,83.579,83.579,83.579,83.579,0
08.01.2017 09:00:00.000 GMT+0100,83.579,83.579,83.579,83.579,0
08.01.2017 10:00:00.000 GMT+0100,83.579,83.579,83.579,83.579,0
08.01.2017 11:00:00.000 GMT+0100,83.579,83.579,83.579,83.579,0
08.01.2017 12:00:00.000 GMT+0100,83.579,83.579,83.579,83.579,0
08.01.2017 13:00:00.000 GMT+0100,83.579,83.579,83.579,83.579,0
08.01.2017 14:00:00.000 GMT+0100,83.579,83.579,83.579,83.579,0
08.01.2017 15:00:00.000 GMT+0100,83.579,83.579,83.579,83.579,0
08.01.2017 16:00:00.000 GMT+0100,83.579,83.579,83.579,83.579,0
08.01.2017 17:00:00.000 GMT+0100,83.579,83.579,83.579,83.579,0
08.01.2017 18:00:00.000 GMT+0100,83.579,83.579,83.579,83.579,0
08.01.2017 19:00:00.000 GMT+0100,83.579,83.579,83.579,83.579,0
08.01.2017 20:00:00.000 GMT+0100,83.579,83.579,83.579,83.579,0
08.01.2017 21:00:00.000 GMT+0100,83.579,83.579,83.579,83.579,0
08.01.2017 22:00:00.000 GMT+0100,83.579,83.579,83.579,83.579,0
08.01.2017 23:00:00.000 GMT+0100,83.579,83.579,83.579,83.579,0
09.01.2017 00:00:00.000 GMT+0100,83.579,83.579,83.579,83.579,0
09.01.2017 01:00:00.000 GMT+0100,83.579,83.579,83.579,83.579,0
09.01.2017 02:00:00.000 GMT+0100,83.579,83.579,83.579,83.579,0
09.01.2017 03:00:00.000 GMT+0100,83.579,83.579,83.579,83.579,0
09.01.2017 04:00:00.000 GMT+0100,83.579,83.579,83.579,83.579,0
09.01.2017 05:00:00.000 GMT+0100,83.579,83.579,83.579,83.579,0
09.01.2017 06:00:00.000 GMT+0100,83.579,83.579,83.579,83.579,0
09.01.2017 07:00:00.000 GMT+0100,83.579,83.579,83.579,83.579,0
09.01.2017 08:00:00.000 GMT+0100,83.579,83.579,83.579,83.579,0
09.01.2017 09:00:00.000 GMT+0100,84.280,84.280,83.589,83.620,57100051.8799
09.01.2017 10:00:00.000 GMT+0100,83.619,84.239,83.619,84.230,31234367.3706
09.01.2017 11:00:00.000 GMT+0100,84.230,84.430,84.099,84.400,29575147.6288
09.01.2017 12:00:00.000 GMT+0100,84.390,84.400,84.089,84.139,27724288.9404
09.01.2017 13:00:00.000 GMT+0100,84.130,84.260,84.009,84.221,44813510.8948
09.01.2017 14:00:00.000 GMT+0100,84.219,84.470,84.199,84.379,70573249.8169
09.01.2017 15:00:00.000 GMT+0100,84.380,84.560,84.379,84.479,98111152.6489
09.01.2017 16:00:00.000 GMT+0100,84.490,84.620,84.420,84.469,102104568.4814
09.01.2017 17:00:00.000 GMT+0100,84.463,84.469,84.384,84.409,91000000
09.01.2017 18:00:00.000 GMT+0100,84.409,84.409,84.409,84.409,0
09.01.2017 19:00:00.000 GMT+0100,84.409,84.409,84.409,84.409,0
09.01.2017 20:00:00.000 GMT+0100,84.409,84.409,84.409,84.409,0
09.01.2017 21:00:00.000 GMT+0100,84.409,84.409,84.409,84.409,0
09.01.2017 22:00:00.000 GMT+0100,84.409,84.409,84.409,84.409,0
09.01.2017 23:00:00.000 GMT+0100,84.409,84.409,84.409,84.409,0
10.01.2017 00:00:00.000 GMT+0100,84.409,84.409,84.409,84.409,0
10.01.2017 01:00:00.000 GMT+0100,84.409,84.409,84.409,84.409,0
10.01.2017 02:00:00.000 GMT+0100,84.409,84.409,84.409,84.409,0
10.01.2017 03:00:00.000 GMT+0100,84.409,84.409,84.409,84.409,0
10.01.2017 04:00:00.000 GMT+0100,84.409,84.409,84.409,84.409,0
10.01.2017 05:00:00.000 GMT+0100,84.409,84.409,84.409,84.409,0
10.01.2017 06:00:00.000 GMT+0100,84.409,84.409,84.409,84.409,0
10.01.2017 07:00:00.000 GMT+0100,84.409,84.409,84.409,84.409,0
10.01.2017 08:00:00.000 GMT+0100,84.409,84.409,84.409,84.409,0
10.01.2017 09:00:00.000 GMT+0100,84.510,84.650,84.169,84.489,69828170.7764
10.01.2017 10:00:00.000 GMT+0100,84.510,84.630,84.379,84.549,26206354.1412
10.01.2017 11:00:00.000 GMT+0100,84.550,84.640,84.490,84.560,21778354.6448
10.01.2017 12:00:00.000 GMT+0100,84.549,84.560,84.469,84.499,11613505.3635
10.01.2017 13:00:00.000 GMT+0100,84.499,84.520,84.409,84.490,19551603.3173
